"state","year","gross_inv","ipd","gross_inv_chain","population","inv_ch_x_pop"
"alabama","1992",508.833,81260.1,1328.224,4.154014,319.744709574883
"alaska","1992",254.279,22752.8,663.753,0.588736,1127.42043972171
"arizona","1992",511.14,82682.2,1334.245,3.91574,340.738915249736
"arkansas","1992",313.697,45017.8,818.852,2.415984,338.931052523527
"california","1992",2391.563,807358.4,6242.776,30.974659,201.544623945658
"colorado","1992",446.168,87302.1,1164.647,3.495939,333.142826576779
"connecticut","1992",563.323,105758.8,1470.46,3.300712,445.49781986432
"delaware","1992",202.419,22907.1,528.381,0.694925,760.342483001763
"district of columbia","1992",99.906,43186.5,260.788,0.597565,436.417795553622
"florida","1992",1990.369,284672.6,5195.526,13.650553,380.609195832579
"georgia","1992",1010.75,160061.8,2638.394,6.817203,387.020013926533
"hawaii","1992",287.605,36129.5,750.743,1.158613,647.96700882866
"idaho","1992",189.581,20631.6,494.869,1.071685,461.767217046054
"illinois","1992",1741.414,306236.3,4545.67,11.694184,388.712029843211
"indiana","1992",642.201,124714.3,1676.358,5.674547,295.41706148526
"iowa","1992",584.535,61870.3,1525.831,2.818401,541.381797693089
"kansas","1992",430.893,56901.7,1124.774,2.532394,444.154424627447
"kentucky","1992",621.985,77531.4,1623.588,3.765469,431.178161339265
"louisiana","1992",565.337,90889.7,1475.718,4.293003,343.749585080653
"maine","1992",116.735,24329.4,304.718,1.238508,246.036359878176
"maryland","1992",489.759,119535.3,1278.434,4.923368,259.666553465026
"massachusetts","1992",888.559,167434.9,2319.435,6.028709,384.731623304426
"michigan","1992",811.887,212056.8,2119.296,9.479065,223.576481435669
"minnesota","1992",1043.82,114517.8,2724.718,4.495572,606.089280741138
"mississippi","1992",348.663,44011.8,910.125,2.623734,346.881581745711
"missouri","1992",567.625,115288.4,1481.689,5.217101,284.006194244658
"montana","1992",191.222,14936.9,499.154,0.82577,604.47097860179
"nebraska","1992",343.544,38213.6,896.765,1.611687,556.413869442392
"nevada","1992",316.658,36051.6,826.583,1.351367,611.664336926978
"new hampshire","1992",104.08,26331.8,271.684,1.117784,243.055903466144
"new jersey","1992",1269.657,230774.5,3314.228,7.880508,420.56019738829
"new mexico","1992",413.72,32638.4,1079.946,1.595442,676.894553358881
"new york","1992",2339.42,519703.9,6106.664,18.246653,334.673104157787
"north carolina","1992",738.454,159337,1927.611,6.897214,279.47675684704
"north dakota","1992",120.722,12896.2,315.124,0.638223,493.752183797826
"ohio","1992",1295.813,250649.6,3382.502,11.029431,306.67964648403
"oklahoma","1992",363.296,62208.5,948.324,3.220517,294.463280274565
"oregon","1992",405.707,63392.3,1059.03,2.991755,353.982862901541
"pennsylvania","1992",981.5,269849.2,2562.041,12.04945,212.627215350078
"rhode island","1992",170.989,22665.2,446.339,1.012581,440.793378505028
"south carolina","1992",411.373,71848,1073.82,3.620464,296.597342219119
"south dakota","1992",157.849,14885.5,412.038,0.712801,578.054744592109
"tennessee","1992",743.826,111660.4,1941.633,5.049742,384.501426013448
"texas","1992",2327.644,416401.3,6075.925,17.759738,342.117941154312
"utah","1992",241.837,35602.3,631.275,1.836799,343.682133973287
"vermont","1992",76.233,12538.3,198.994,0.572751,347.435447515587
"virginia","1992",724.187,158990.2,1890.369,6.414307,294.711338263042
"washington","1992",675.573,134469,1763.471,5.160757,341.707815345694
"west virginia","1992",282.471,30410.3,737.343,1.806451,408.172156344124
"wisconsin","1992",876.466,112972.1,2287.867,5.025398,455.260856951032
"wyoming","1992",174.709,13178.7,456.048,0.466251,978.116937014612
"alabama","1993",534.588,84562.8,1381.32,4.214202,327.777358560411
"alaska","1993",267.149,23284.2,690.286,0.599432,1151.56681658637
"arizona","1993",537.011,89299.8,1387.581,4.06544,341.311395568499
"arkansas","1993",329.574,47566,851.586,2.456303,346.694198557751
"california","1993",2512.611,826446.9,6492.33,31.274928,207.588967111291
"colorado","1993",468.751,95658.7,1211.204,3.613734,335.166893855497
"connecticut","1993",591.835,107680,1529.242,3.309175,462.121827948053
"delaware","1993",212.664,23508.6,549.503,0.706378,777.916356398416
"district of columbia","1993",104.963,45356.2,271.213,0.595301,455.589693281214
"florida","1993",2091.111,304403,5403.216,13.927185,387.961817122412
"georgia","1993",1061.909,171658.9,2743.863,6.97824,393.202727335259
"hawaii","1993",302.161,36732.4,780.754,1.172838,665.69637068376
"idaho","1993",199.176,23099.8,514.652,1.108768,464.165632485786
"illinois","1993",1829.555,320078.9,4727.383,11.809579,400.300721981707
"indiana","1993",674.706,132108.2,1743.371,5.739019,303.775087693559
"iowa","1993",614.121,63385.5,1586.826,2.836972,559.337913803873
"kansas","1993",452.702,58953.2,1169.736,2.556547,457.545274935294
"kentucky","1993",653.467,81618.1,1688.491,3.812206,442.91704068458
"louisiana","1993",593.951,95866.4,1534.71,4.316428,355.55093239132
"maine","1993",122.644,25201.9,316.899,1.242302,255.090147162284
"maryland","1993",514.548,125515.4,1329.539,4.971889,267.411239470551
"massachusetts","1993",933.533,173527.4,2412.154,6.060569,398.007843817965
"michigan","1993",852.981,226368,2204.015,9.540114,231.026065306976
"minnesota","1993",1096.652,117947.4,2833.638,4.555954,621.963698492127
"mississippi","1993",366.31,47340.3,946.507,2.6551,356.486384693608
"missouri","1993",596.355,118905.6,1540.919,5.271175,292.329319364278
"montana","1993",200.901,16054.4,519.107,0.844761,614.501616433524
"nebraska","1993",360.933,39353.4,932.613,1.62559,573.707392392916
"nevada","1993",332.686,40039.1,859.626,1.411215,609.138933472221
"new hampshire","1993",109.348,27362.1,282.545,1.129458,250.159811166064
"new jersey","1993",1333.92,240389.4,3446.714,7.948915,433.608108779626
"new mexico","1993",434.66,36876.1,1123.117,1.636453,686.311797527946
"new york","1993",2457.828,537504.2,6350.777,18.374954,345.621382235841
"north carolina","1993",775.831,168005.7,2004.667,7.042818,284.639898404303
"north dakota","1993",126.832,13049.3,327.721,0.641216,511.092985826929
"ohio","1993",1361.399,259611.6,3517.717,11.10114,316.878897122278
"oklahoma","1993",381.684,65552.1,986.233,3.252285,303.243104463477
"oregon","1993",426.241,69408.5,1101.364,3.060367,359.879713772891
"pennsylvania","1993",1031.178,281703.7,2664.458,12.119724,219.844775343069
"rhode island","1993",179.644,23566.4,464.181,1.015112,457.270724806721
"south carolina","1993",432.194,76158.3,1116.746,3.663314,304.845830851519
"south dakota","1993",165.838,16104.5,428.51,0.722159,593.373481463223
"tennessee","1993",781.474,119567.6,2019.25,5.137584,393.034936265762
"texas","1993",2445.456,443775.4,6318.809,18.161612,347.921153694947
"utah","1993",254.078,38631.4,656.511,1.898404,345.822596244003
"vermont","1993",80.092,13026.9,206.949,0.577748,358.199422585626
"virginia","1993",760.841,167688.4,1965.936,6.50963,302.004261378911
"washington","1993",709.767,142499.7,1833.966,5.278842,347.418240591402
"west virginia","1993",296.768,31881.4,766.818,1.817539,421.899062413516
"wisconsin","1993",920.827,120023.9,2379.324,5.084889,467.920538678425
"wyoming","1993",183.552,13790.6,474.279,0.473081,1002.53233590019
"alabama","1994",550.485,90098.5,1386.588,4.260229,325.472644780363
"alaska","1994",278.957,23604.7,702.651,0.603308,1164.6638201383
"arizona","1994",588.736,100374.2,1482.938,4.245089,349.330249613141
"arkansas","1994",370.106,51415.9,932.24,2.494019,373.790255807995
"california","1994",2650.115,861360,6675.239,31.484435,212.017112582773
"colorado","1994",511.927,104506.8,1289.468,3.724168,346.243241443458
"connecticut","1994",592.508,113115.1,1492.437,3.316121,450.055049257853
"delaware","1994",224.569,25637.9,565.655,0.717545,788.319896313123
"district of columbia","1994",99.466,46654.8,250.54,0.589239,425.192494047407
"florida","1994",2341.6,327167.4,5898.138,14.239444,414.211257124927
"georgia","1994",1201.18,187995.6,3025.591,7.157165,422.735957603325
"hawaii","1994",291.906,37394.9,735.268,1.187536,619.1542824807
"idaho","1994",221.286,25455.5,557.386,1.14514,486.740485879456
"illinois","1994",1888.566,347971.5,4757.014,11.912585,399.326762411349
"indiana","1994",712.144,143335.2,1793.784,5.793526,309.618701978726
"iowa","1994",668.603,70161,1684.111,2.850746,590.761505935639
"kansas","1994",554.715,63304.1,1397.243,2.580513,541.459391989112
"kentucky","1994",686.568,87645.7,1729.36,3.849088,449.290845000166
"louisiana","1994",632.323,105118.9,1592.727,4.347481,366.356287698555
"maine","1994",142.846,26543.5,359.808,1.242662,289.546151729111
"maryland","1994",545.726,133311.3,1374.602,5.02306,273.658287975855
"massachusetts","1994",1128.041,185710.2,2841.365,6.095241,466.161223157542
"michigan","1994",879.457,251483.9,2215.22,9.597737,230.806491155155
"minnesota","1994",1148.622,128167.2,2893.207,4.610355,627.545384249152
"mississippi","1994",431.164,51601.6,1086.037,2.688992,403.882570122931
"missouri","1994",701.803,130566.7,1767.736,5.324497,332.000562682259
"montana","1994",218.082,17062.1,549.315,0.861306,637.769851829663
"nebraska","1994",392.118,43504.3,987.685,1.639041,602.599324849104
"nevada","1994",387.286,45172.8,975.515,1.499298,650.647836520825
"new hampshire","1994",110.184,29190.1,277.537,1.14256,242.908031088083
"new jersey","1994",1395.012,251572.6,3513.824,8.014306,438.44395260176
"new mexico","1994",392.956,41684.5,989.796,1.682398,588.324522497055
"new york","1994",2792.872,555321.8,7034.823,18.45947,381.095611087426
"north carolina","1994",932.059,181287.8,2347.716,7.187398,326.643383321753
"north dakota","1994",131.654,14303.8,331.617,0.644804,514.291164446871
"ohio","1994",1392.585,281924.7,3507.711,11.152454,314.5236913777
"oklahoma","1994",427.717,68250.7,1077.356,3.28094,328.368089632849
"oregon","1994",453.957,75393.1,1143.448,3.121264,366.341328384911
"pennsylvania","1994",1094.548,296601.6,2757.002,12.16605,226.614390044427
"rhode island","1994",180.932,24353.7,455.74,1.01596,448.580652781606
"south carolina","1994",407.791,82061.5,1027.164,3.705397,277.207543483195
"south dakota","1994",177.55,17329.6,447.222,0.73079,611.970607151165
"tennessee","1994",842.272,129895.2,2121.557,5.231438,405.539929938957
"texas","1994",2654.625,475989.7,6686.599,18.564062,360.190512184241
"utah","1994",278.244,42591.1,700.855,1.960446,357.497732658793
"vermont","1994",80.628,13689.2,203.089,0.583836,347.852821682801
"virginia","1994",894.407,177057.3,2252.877,6.593139,341.700212903141
"washington","1994",884.435,150805.2,2227.757,5.375161,414.454004261454
"west virginia","1994",333.218,34592.1,839.325,1.820421,461.060930411152
"wisconsin","1994",956.566,129436.7,2409.446,5.133678,469.341084501209
"wyoming","1994",193.885,14070.4,488.367,0.480283,1016.83174295155
"alabama","1995",525.402,95819.1,1255.353,4.2968,292.159979519643
"alaska","1995",270.355,25448.8,645.963,0.604412,1068.74615328617
"arizona","1995",599.93,109905.7,1433.423,4.432499,323.389356658625
"arkansas","1995",385.918,54611.8,922.08,2.535399,363.682402651417
"california","1995",2596.123,911576.8,6202.962,31.696582,195.698135527673
"colorado","1995",519.689,112707.9,1241.702,3.826653,324.487744250655
"connecticut","1995",547.512,123212.2,1308.18,3.324144,393.538908061745
"delaware","1995",220.27,27720.9,526.295,0.729734,721.214853631597
"district of columbia","1995",85.771,47093.9,204.934,0.580517,353.019808205444
"florida","1995",2435.129,346951.2,5818.295,14.537875,400.216331478982
"georgia","1995",1260.957,203397.1,3012.826,7.328413,411.115749071457
"hawaii","1995",258.148,37763.1,616.797,1.196854,515.348572173381
"idaho","1995",228.414,27762.4,545.753,1.177322,463.554575553672
"illinois","1995",1807.412,364450.7,4318.482,12.008437,359.620656709945
"indiana","1995",698.17,150403.9,1668.151,5.851459,285.082916927214
"iowa","1995",676.651,73136.6,1616.734,2.867373,563.83804967125
"kansas","1995",623.593,65281.9,1489.962,2.601007,572.840442182585
"kentucky","1995",669.818,91914.7,1600.409,3.887427,411.688502446477
"louisiana","1995",625.532,112875.7,1494.594,4.378779,341.326657499728
"maine","1995",153.941,28152.6,367.813,1.24348,295.793257631808
"maryland","1995",537.742,139070.1,1284.837,5.070033,253.417877161746
"massachusetts","1995",1253.942,196408.7,2996.065,6.141445,487.843658943457
"michigan","1995",840.567,256614.9,2008.381,9.676211,207.558619794463
"minnesota","1995",1116.87,135124.1,2668.557,4.66018,572.629597998361
"mississippi","1995",468.894,54984.3,1120.336,2.722659,411.485977494795
"missouri","1995",763.091,140059.8,1823.266,5.378247,339.007487012032
"montana","1995",220.06,17519.3,525.794,0.876553,599.842793305139
"nebraska","1995",395.997,45111.3,946.163,1.656992,571.012412854136
"nevada","1995",417.175,49249.3,996.765,1.581578,630.234487328478
"new hampshire","1995",102.595,31875.5,245.132,1.157561,211.765945811927
"new jersey","1995",1354.229,263468,3235.682,8.083242,400.295079622755
"new mexico","1995",316.964,42145.9,757.327,1.720394,440.205557564139
"new york","1995",2944.148,582656.3,7034.504,18.524104,379.74867772282
"north carolina","1995",1031.174,193466.7,2463.802,7.344674,335.45423527307
"north dakota","1995",126.772,14841.9,302.899,0.647832,467.557947122093
"ohio","1995",1319.246,297538.2,3152.097,11.202751,281.368121098112
"oklahoma","1995",445.106,70859.4,1063.501,3.308208,321.473438187683
"oregon","1995",449.264,81553.7,1073.435,3.184369,337.095041435211
"pennsylvania","1995",1079.451,312989.4,2579.152,12.198403,211.433578641401
"rhode island","1995",168.377,25549.8,402.306,1.017002,395.580343008175
"south carolina","1995",349.597,87247.7,835.299,3.748582,222.830659700121
"south dakota","1995",176.669,18053.8,422.119,0.737925,572.035098417861
"tennessee","1995",843.83,137061.2,2016.178,5.326936,378.487370601036
"texas","1995",2678.75,507725.3,6400.385,18.958751,337.595287790847
"utah","1995",283.228,46746.4,676.722,2.014177,335.979409952551
"vermont","1995",74.992,13891.4,179.179,0.589002,304.207795559268
"virginia","1995",971.615,186235.6,2321.498,6.670693,348.01451663268
"washington","1995",1007.414,155068.6,2407.032,5.481027,439.157114168567
"west virginia","1995",347.408,36148.7,830.067,1.8237,455.155453199539
"wisconsin","1995",921.866,135311.3,2202.63,5.184836,424.821537267524
"wyoming","1995",190.234,14608.1,454.529,0.48516,936.864127298211
"alabama","1996",517.464,100145.9,1187.131,4.331102,274.094445247422
"alaska","1996",270.805,26736.9,621.262,0.608569,1020.85712548618
"arizona","1996",632.838,119530.2,1451.814,4.58694,316.510353307434
"arkansas","1996",416.16,57976.4,954.727,2.572109,371.184502678541
"california","1996",2630.597,964185.5,6034.941,32.018834,188.480973417083
"colorado","1996",546.157,121081,1252.957,3.919972,319.634170856322
"connecticut","1996",519.369,129111.3,1191.502,3.336685,357.091544452053
"delaware","1996",223.492,29156.5,512.721,0.740977,691.95265170174
"district of columbia","1996",74.359,47822.9,170.589,0.572377,298.036084608571
"florida","1996",2619.377,370912.5,6009.202,14.85336,404.568528602283
"georgia","1996",1368.319,219989,3139.108,7.501069,418.488084831642
"hawaii","1996",231.661,38124.6,531.462,1.203755,441.503462083231
"idaho","1996",243.963,28914.6,559.684,1.203083,465.208136097011
"illinois","1996",1785.508,383504.1,4096.195,12.101997,338.472650422901
"indiana","1996",708.017,158350.1,1624.285,5.906013,275.022252744787
"iowa","1996",708.944,78819.2,1626.412,2.88,564.726388888889
"kansas","1996",718.116,69616.1,1647.454,2.614554,630.108997557518
"kentucky","1996",675.742,96616.8,1550.244,3.919535,395.517325397018
"louisiana","1996",640.389,118807.2,1469.139,4.398877,333.980468196769
"maine","1996",171.048,29255.9,392.408,1.24906,314.162650313035
"maryland","1996",548.254,145023.1,1257.768,5.111986,246.04292734761
"massachusetts","1996",1430.732,210630.5,3282.29,6.179756,531.135857143874
"michigan","1996",829.17,270319.7,1902.227,9.758645,194.927369527224
"minnesota","1996",1122.718,145880.3,2575.665,4.712827,546.522289063443
"mississippi","1996",525.151,57460.1,1204.767,2.748085,438.402378383493
"missouri","1996",854.524,148256.8,1960.393,5.431553,360.926792024307
"montana","1996",229.89,18118.7,527.398,0.886254,595.086735856763
"nebraska","1996",414.021,49006.9,949.82,1.67374,567.483599603284
"nevada","1996",463.351,54418.6,1062.99,1.66632,637.92668875126
"new hampshire","1996",98.209,34560.6,225.305,1.174719,191.794803693479
"new jersey","1996",1358.915,278191.1,3117.533,8.149596,382.538349140252
"new mexico","1996",248.047,44532.1,569.052,1.752326,324.740944322004
"new york","1996",3207.158,620153.4,7357.651,18.58846,395.8182119444
"north carolina","1996",1171.9,203815,2688.496,7.50067,358.434113219219
"north dakota","1996",126.09,16491,289.266,0.650382,444.763231454745
"ohio","1996",1288.396,311120.1,2955.754,11.242827,262.901314767184
"oklahoma","1996",479.094,76316.3,1099.105,3.340129,329.060644064945
"oregon","1996",460.13,93306.4,1055.601,3.247111,325.089287061637
"pennsylvania","1996",1101.533,325000.7,2527.064,12.220464,206.789529431943
"rhode island","1996",161.074,26453.7,369.524,1.020893,361.961537595027
"south carolina","1996",300.582,90754.8,689.576,3.7962,181.649017438491
"south dakota","1996",181.959,19418.7,417.437,0.742213,562.422107939365
"tennessee","1996",875.168,143162.6,2007.754,5.416643,370.663896439178
"texas","1996",2798.443,551512.5,6420.004,19.340342,331.948835237764
"utah","1996",298.447,52016,684.678,2.067976,331.08604742028
"vermont","1996",71.692,14672.4,164.472,0.593701,277.028335812134
"virginia","1996",1087.163,197756.4,2494.097,6.750884,369.447467916794
"washington","1996",1172.45,166539.8,2689.758,5.569753,482.922312712969
"west virginia","1996",374.586,37224.2,859.349,1.822808,471.442411927093
"wisconsin","1996",917.745,143443.8,2105.43,5.229986,402.568955251505
"wyoming","1996",193.082,15752.2,442.956,0.488167,907.386201853054
"alabama","1997",570.38,104087.4,1259.965,4.367935,288.457818168082
"alaska","1997",291.2,25744.8,643.259,0.612968,1049.41693530494
"arizona","1997",672.606,132418,1485.783,4.73699,313.65550697806
"arkansas","1997",453.614,59865.6,1002.03,2.60109,385.234651626818
"california","1997",2902.47,1070523.6,6411.536,32.48601,197.362987944657
"colorado","1997",641.926,136675.3,1418.01,4.018293,352.888651972367
"connecticut","1997",527.018,138648.8,1164.179,3.349348,347.583768542415
"delaware","1997",229.045,32967.7,505.959,0.751487,673.277115904866
"district of columbia","1997",70.937,52451.9,156.7,0.567736,276.008567362295
"florida","1997",2804.725,401723,6195.618,15.186304,407.97405346291
"georgia","1997",1451.577,242596.2,3206.523,7.685099,417.238997181429
"hawaii","1997",229.945,37654.9,507.947,1.21164,419.222706414447
"idaho","1997",251.105,29439,554.688,1.22852,451.509132940449
"illinois","1997",1943.595,415770.7,4293.389,12.185715,352.329674541051
"indiana","1997",733.637,170545.3,1620.599,5.955267,272.128688772476
"iowa","1997",734.828,82572.2,1623.23,2.891119,561.453886886012
"kansas","1997",725.58,74664.6,1602.801,2.635292,608.206225344288
"kentucky","1997",723.61,104584,1598.449,3.952747,404.389403116364
"louisiana","1997",658.077,116494.7,1453.688,4.421071,328.809014829212
"maine","1997",177.42,30630.6,391.919,1.254774,312.342302279135
"maryland","1997",592.103,159335.8,1307.95,5.157328,253.610008903836
"massachusetts","1997",1524.566,237316.4,3367.755,6.226058,540.91288580993
"michigan","1997",856.103,299843.2,1891.125,9.809051,192.793879856471
"minnesota","1997",1159.178,155921.9,2560.617,4.76339,537.561904442005
"mississippi","1997",532.999,58339.9,1177.391,2.777004,423.978863552231
"missouri","1997",900.444,163151.9,1989.074,5.481193,362.890706457518
"montana","1997",240.941,19307.1,532.237,0.889865,598.109825647711
"nebraska","1997",428.797,49886,947.209,1.686418,561.66917098845
"nevada","1997",487.471,60593.4,1076.821,1.764104,610.406756064268
"new hampshire","1997",107.276,38214.9,236.973,1.189425,199.233242953528
"new jersey","1997",1389.826,307895.7,3070.117,8.218808,373.547721275397
"new mexico","1997",269.718,52511.1,595.804,1.774839,335.694674277498
"new york","1997",3277.65,718322.5,7240.305,18.656546,388.083892913511
"north carolina","1997",1242.548,233924.3,2744.78,7.656825,358.474955350292
"north dakota","1997",138.719,15730.3,306.43,0.649716,471.636838249327
"ohio","1997",1381.189,343467.2,3051.038,11.277357,270.545483307835
"oklahoma","1997",523.167,79096,1155.673,3.372917,342.633097701485
"oregon","1997",461.504,100888.6,1019.459,3.30431,308.524018630213
"pennsylvania","1997",1265.809,356146.1,2796.163,12.227814,228.672353046914
"rhode island","1997",165.77,28929.9,366.184,1.025353,357.12969094546
"south carolina","1997",374.064,97393,826.304,3.859696,214.085254382729
"south dakota","1997",197.616,19000,436.531,0.744223,586.55940490955
"tennessee","1997",892.847,154412.9,1972.292,5.499233,358.648560626546
"texas","1997",2965.535,610256.5,6550.847,19.740317,331.851155176485
"utah","1997",331.531,57699.7,732.351,2.119784,345.483785140373
"vermont","1997",78.568,15415,173.557,0.597239,290.598905965618
"virginia","1997",1147.892,217251.9,2535.686,6.829183,371.301515862146
"washington","1997",1199.384,193897.6,2649.432,5.674747,466.881078574957
"west virginia","1997",390.636,38839.7,862.913,1.819113,474.35920693217
"wisconsin","1997",1002.322,153240.7,2214.122,5.266213,420.439127699544
"wyoming","1997",202.533,14724.3,447.393,0.489451,914.071071465785
"alabama","1998",635.601,109404.3,1375.223,4.404701,312.217106223555
"alaska","1998",316.959,24170.4,685.79,0.619932,1106.23423214159
"arizona","1998",723.743,143392.4,1565.931,4.883342,320.667895060391
"arkansas","1998",500.211,62442.5,1082.284,2.626289,412.096307755925
"california","1998",3237.321,1147841.6,7004.449,32.987675,212.335334333202
"colorado","1998",756.572,150381.7,1636.962,4.116639,397.645263526872
"connecticut","1998",540.31,145495.4,1169.045,3.365352,347.376738005415
"delaware","1998",237.36,36783.2,513.565,0.763335,672.791107442997
"district of columbia","1998",67.657,54879.8,146.386,0.56523,258.984838030536
"florida","1998",3040.187,430064.2,6577.918,15.486559,424.750133325292
"georgia","1998",1559.011,264894.9,3373.164,7.863536,428.962746530314
"hawaii","1998",229.989,37624.4,497.616,1.215233,409.481967655585
"idaho","1998",261.42,30983.9,565.624,1.25233,451.65731077272
"illinois","1998",2140.527,436166.7,4631.364,12.271847,377.397469182919
"indiana","1998",769.191,184582.1,1664.266,5.99888,277.429453497986
"iowa","1998",770.693,84546.9,1667.515,2.902872,574.436282412728
"kansas","1998",740.386,78478.8,1601.941,2.660598,602.098099750507
"kentucky","1998",784.413,109656.2,1697.2,3.98539,425.855436983583
"louisiana","1998",683.94,120429.3,1479.812,4.440344,333.265170446254
"maine","1998",186.218,32166.6,402.911,1.259127,319.992343901767
"maryland","1998",647.186,169980.1,1400.288,5.204464,269.055180322123
"massachusetts","1998",1644.679,249154.2,3558.521,6.271838,567.380885794563
"michigan","1998",894.216,312611,1934.776,9.847942,196.465007612758
"minnesota","1998",1210.777,166292.7,2619.705,4.813412,544.251146587909
"mississippi","1998",546.569,60992.3,1182.588,2.804834,421.624951779677
"missouri","1998",960.566,169368.7,2078.333,5.521765,376.389252349566
